Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,total,Drinking water,2000,27.62836,180695346.00852,Basic service
who,Africa,rural,Drinking water,2000,24.25413,106634079.32888,Basic service
who,Africa,urban,Drinking water,2000,34.54867,74061265.39271,Basic service
who,Africa,total,Drinking water,2000,8.85472,57911778.24316,Limited service
who,Africa,rural,Drinking water,2000,8.86778,38987511.8007,Limited service
who,Africa,urban,Drinking water,2000,8.82794,18924266.02863,Limited service
who,Africa,total,Drinking water,2000,19.52627,127705976.60184,Safely managed service
who,Africa,rural,Drinking water,2000,7.59476,33390605.3874,Safely managed service
who,Africa,urban,Drinking water,2000,43.99696,94315370.31665,Safely managed service
who,Africa,total,Drinking water,2000,17.84068,116681827.23609,Surface water
who,Africa,rural,Drinking water,2000,24.91492,109539301.13847,Surface water
who,Africa,urban,Drinking water,2000,3.3319,7142525.25487,Surface water
who,Africa,total,Drinking water,2000,26.14997,171026371.91039,Unimproved
who,Africa,rural,Drinking water,2000,34.36841,151101851.02898,Unimproved
who,Africa,urban,Drinking water,2000,9.29454,19924522.56313,Unimproved
who,Africa,total,Drinking water,2001,28.1394,188759329.98265,Basic service
who,Africa,rural,Drinking water,2001,24.93452,111688072.24622,Basic service
who,Africa,urban,Drinking water,2001,34.58043,77071258.01948,Basic service
who,Africa,total,Drinking water,2001,9.11621,61151622.57596,Limited service
who,Africa,rural,Drinking water,2001,9.21487,41275748.39101,Limited service
who,Africa,urban,Drinking water,2001,8.91793,19875874.39465,Limited service
who,Africa,total,Drinking water,2001,19.8587,133212292.96358,Safely managed service
who,Africa,rural,Drinking water,2001,7.76523,34782424.76002,Safely managed service
who,Africa,urban,Drinking water,2001,44.16363,98429867.38402,Safely managed service
who,Africa,total,Drinking water,2001,17.42563,116891281.90196,Surface water
who,Africa,rural,Drinking water,2001,24.4512,109523155.88333,Surface water
who,Africa,urban,Drinking water,2001,3.30594,7368127.12794,Surface water
who,Africa,total,Drinking water,2001,25.46006,170786267.07586,Unimproved
who,Africa,rural,Drinking water,2001,33.63417,150656013.74042,Unimproved
who,Africa,urban,Drinking water,2001,9.03207,20130252.83268,Unimproved
who,Africa,total,Drinking water,2002,28.59966,196772642.25598,Basic service
who,Africa,rural,Drinking water,2002,25.57851,116703701.06516,Basic service
who,Africa,urban,Drinking water,2002,34.54707,80068942.93815,Basic service
who,Africa,total,Drinking water,2002,9.33702,64240995.24449,Limited service
who,Africa,rural,Drinking water,2002,9.57818,43701114.25764,Limited service
who,Africa,urban,Drinking water,2002,8.86227,20539881.61745,Limited service
who,Africa,total,Drinking water,2002,20.30059,139673038.88101,Safely managed service
who,Africa,rural,Drinking water,2002,7.96802,36354626.73101,Safely managed service
who,Africa,urban,Drinking water,2002,44.57844,103318412.89157,Safely managed service
who,Africa,total,Drinking water,2002,16.83359,115819195.50698,Surface water
who,Africa,rural,Drinking water,2002,23.74918,108357256.74416,Surface water
who,Africa,urban,Drinking water,2002,3.21958,7461940.21707,Surface water
who,Africa,total,Drinking water,2002,24.92915,171518639.11222,Unimproved
who,Africa,rural,Drinking water,2002,33.12611,151140118.27557,Unimproved
who,Africa,urban,Drinking water,2002,8.79265,20378516.22152,Unimproved
who,Africa,total,Drinking water,2003,29.04526,204991976.90788,Basic service
who,Africa,rural,Drinking water,2003,26.21085,121822513.62335,Basic service
who,Africa,urban,Drinking water,2003,34.51182,83169462.86509,Basic service
who,Africa,total,Drinking water,2003,9.55252,67418544.74502,Limited service
who,Africa,rural,Drinking water,2003,9.94435,46219238.91454,Limited service
who,Africa,urban,Drinking water,2003,8.79682,21199305.65476,Limited service
who,Africa,total,Drinking water,2003,20.75418,146476227.37376,Safely managed service
who,Africa,rural,Drinking water,2003,8.18887,38060159.27729,Safely managed service
who,Africa,urban,Drinking water,2003,44.9881,108416068.09369,Safely managed service
who,Africa,total,Drinking water,2003,16.2391,114610302.33386,Surface water
who,Africa,rural,Drinking water,2003,23.04418,107104516.19923,Surface water
who,Africa,urban,Drinking water,2003,3.11458,7505785.66331,Surface water
who,Africa,total,Drinking water,2003,24.40894,172270325.64018,Unimproved
who,Africa,rural,Drinking water,2003,32.61176,151572604.25413,Unimproved
