Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,total,Hygiene,2011,25.00949,220579817.0974,Basic service
who,Africa,rural,Hygiene,2011,15.83687,86723429.08817,Basic service
who,Africa,urban,Hygiene,2011,40.03122,133856387.40233,Basic service
who,Africa,total,Hygiene,2011,36.65841,323321449.67092,Limited service
who,Africa,rural,Hygiene,2011,40.30152,220692898.07239,Limited service
who,Africa,urban,Hygiene,2011,30.6922,102628551.05701,Limited service
who,Africa,total,Hygiene,2011,38.3321,338083145.96868,No handwashing facility
who,Africa,rural,Hygiene,2011,43.86161,240188135.99898,No handwashing facility
who,Africa,urban,Hygiene,2011,29.27658,97895009.43832,No handwashing facility
who,Africa,total,Hygiene,2012,27.14278,245968544.45949,Basic service
who,Africa,rural,Hygiene,2012,18.17068,101372663.02877,Basic service
who,Africa,urban,Hygiene,2012,41.51345,144595880.53104,Basic service
who,Africa,total,Hygiene,2012,36.09258,327071817.41007,Limited service
who,Africa,rural,Hygiene,2012,39.87156,222440075.01474,Limited service
who,Africa,urban,Hygiene,2012,30.03976,104631740.67453,Limited service
who,Africa,total,Hygiene,2012,36.76464,333162067.5417,No handwashing facility
who,Africa,rural,Hygiene,2012,41.95776,234078800.99148,No handwashing facility
who,Africa,urban,Hygiene,2012,28.44679,99083264.75343,No handwashing facility
who,Africa,total,Hygiene,2013,27.34769,254618905.14237,Basic service
who,Africa,rural,Hygiene,2013,18.30323,104018952.17203,Basic service
who,Africa,urban,Hygiene,2013,41.51798,150599950.34855,Basic service
who,Africa,total,Hygiene,2013,36.04981,335639487.33016,Limited service
who,Africa,rural,Hygiene,2013,39.88861,226690685.27977,Limited service
who,Africa,urban,Hygiene,2013,30.03543,108948802.01025,Limited service
who,Africa,total,Hygiene,2013,36.6025,340785202.10583,No handwashing facility
who,Africa,rural,Hygiene,2013,41.80816,237599674.78577,No handwashing facility
who,Africa,urban,Hygiene,2013,28.44659,103185527.56319,No handwashing facility
who,Africa,total,Hygiene,2014,26.76252,255978194.38566,Basic service
who,Africa,rural,Hygiene,2014,17.91273,103678445.9732,Basic service
who,Africa,urban,Hygiene,2014,40.32479,152299747.93323,Basic service
who,Africa,total,Hygiene,2014,38.17222,365109696.27551,Limited service
who,Africa,rural,Hygiene,2014,42.0193,243206624.57688,Limited service
who,Africa,urban,Hygiene,2014,32.27658,121903071.29434,Limited service
who,Africa,total,Hygiene,2014,35.06526,335392215.4746,No handwashing facility
who,Africa,rural,Hygiene,2014,40.06797,231912353.58892,No handwashing facility
who,Africa,urban,Hygiene,2014,27.39863,103479861.53843,No handwashing facility
who,Africa,total,Hygiene,2015,27.22981,267528727.99019,Basic service
who,Africa,rural,Hygiene,2015,18.15388,106986769.62272,Basic service
who,Africa,urban,Hygiene,2015,40.83459,160541958.37617,Basic service
who,Africa,total,Hygiene,2015,38.8244,381443852.97106,Limited service
who,Africa,rural,Hygiene,2015,42.74856,251931368.7319,Limited service
who,Africa,urban,Hygiene,2015,32.9421,129512483.42514,Limited service
who,Africa,total,Hygiene,2015,33.94579,333512194.92145,No handwashing facility
who,Africa,rural,Hygiene,2015,39.09756,230414799.02038,No handwashing facility
who,Africa,urban,Hygiene,2015,26.2233,103097395.10569,No handwashing facility
who,Africa,total,Hygiene,2016,27.71699,279677778.24525,Basic service
who,Africa,rural,Hygiene,2016,18.5151,111073344.2391,Basic service
who,Africa,urban,Hygiene,2016,41.20935,168604434.75006,Basic service
who,Africa,total,Hygiene,2016,39.10099,394547781.59243,Limited service
who,Africa,rural,Hygiene,2016,43.00272,257976263.46313,Limited service
who,Africa,urban,Hygiene,2016,33.38005,136571520.20657,Limited service
who,Africa,total,Hygiene,2016,33.18201,334822467.8913,No handwashing facility
who,Africa,rural,Hygiene,2016,38.48218,230857259.07537,No handwashing facility
who,Africa,urban,Hygiene,2016,25.4106,103965210.69938,No handwashing facility
who,Africa,total,Hygiene,2017,27.8979,289064081.12984,Basic service
who,Africa,rural,Hygiene,2017,18.61278,113630294.5359,Basic service
who,Africa,urban,Hygiene,2017,41.21514,175433787.04877,Basic service
who,Africa,total,Hygiene,2017,39.03586,404470065.10965,Limited service
who,Africa,rural,Hygiene,2017,42.99416,262477666.40759,Limited service
who,Africa,urban,Hygiene,2017,33.35866,141992400.15354,Limited service
who,Africa,total,Hygiene,2017,33.06623,342615742.6539,No handwashing facility
who,Africa,rural,Hygiene,2017,38.39307,234388200.76351,No handwashing facility
who,Africa,urban,Hygiene,2017,25.42619,108227543.21469,No handwashing facility
who,Africa,total,Hygiene,2018,28.18154,299778433.85618,Basic service
who,Africa,rural,Hygiene,2018,18.77771,116621265.90374,Basic service
who,Africa,urban,Hygiene,2018,41.37479,183157170.2224,Basic service
who,Africa,total,Hygiene,2018,39.12427,416180632.73471,Limited service
who,Africa,rural,Hygiene,2018,43.1069,267720702.22952,Limited service
who,Africa,urban,Hygiene,2018,33.53676,148459930.67123,Limited service
who,Africa,total,Hygiene,2018,32.69419,347781325.13786,No handwashing facility
who,Africa,rural,Hygiene,2018,38.11539,236720261.76173,No handwashing facility
who,Africa,urban,Hygiene,2018,25.08844,111061063.14893,No handwashing facility
who,Africa,total,Hygiene,2019,28.31779,309162035.58569,Basic service
who,Africa,rural,Hygiene,2019,18.83351,118945996.95922,Basic service
who,Africa,urban,Hygiene,2019,41.33397,190216039.76246,Basic service
who,Africa,total,Hygiene,2019,39.00956,425890339.61238,Limited service
who,Africa,rural,Hygiene,2019,43.01894,271692921.78312,Limited service
who,Africa,urban,Hygiene,2019,33.50712,154197415.74929,Limited service
who,Africa,total,Hygiene,2019,32.67264,356706489.40691,No handwashing facility
