ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Sanitation,2020,50.49965,19658673.59393,At least basic
AFG,Afghanistan,rural,Sanitation,2020,44.7967,12900038.36573,At least basic
AFG,Afghanistan,urban,Sanitation,2020,66.7092,6758635.05736,At least basic
AFG,Afghanistan,total,Hygiene,2020,38.11505,14837556.27074,Basic service
AFG,Afghanistan,rural,Hygiene,2020,29.12944,8388362.54217,Basic service
AFG,Afghanistan,urban,Hygiene,2020,63.65494,6449193.05055,Basic service
AFG,Afghanistan,total,Drinking water,2020,47.50246,18491917.97321,Basic service
AFG,Afghanistan,rural,Drinking water,2020,41.83238,12046406.63439,Basic service
AFG,Afghanistan,urban,Drinking water,2020,63.61859,6445510.44781,Basic service
AFG,Afghanistan,total,Hygiene,2020,34.22538,13323373.54618,Limited service
AFG,Afghanistan,rural,Hygiene,2020,38.2024,11001089.08858,Limited service
AFG,Afghanistan,urban,Hygiene,2020,22.92145,2322283.74872,Limited service
AFG,Afghanistan,total,Sanitation,2020,10.9432,4260006.16127,Limited service
AFG,Afghanistan,rural,Sanitation,2020,7.24273,2085676.66223,Limited service
AFG,Afghanistan,urban,Sanitation,2020,21.4611,2174329.311,Limited service
AFG,Afghanistan,total,Drinking water,2020,1.44754,563503.94995,Limited service
AFG,Afghanistan,rural,Drinking water,2020,1.95682,563503.91711,Limited service
AFG,Afghanistan,urban,Drinking water,2020,0,0,Limited service
AFG,Afghanistan,total,Hygiene,2020,27.65957,10767410.23757,No handwashing facility
AFG,Afghanistan,rural,Hygiene,2020,32.66815,9407398.6889,No handwashing facility
AFG,Afghanistan,urban,Hygiene,2020,13.42362,1360012.21998,No handwashing facility
AFG,Afghanistan,total,Sanitation,2020,10.78376,4197939.30647,Open defecation
AFG,Afghanistan,rural,Sanitation,2020,14.57777,4197939.06131,Open defecation
AFG,Afghanistan,urban,Sanitation,2020,0,0,Open defecation
AFG,Afghanistan,total,Drinking water,2020,27.58896,10739922.68756,Safely managed service
AFG,Afghanistan,rural,Drinking water,2020,24.49554,7053943.61676,Safely managed service
AFG,Afghanistan,urban,Drinking water,2020,36.38141,3685978.55219,Safely managed service
AFG,Afghanistan,total,Drinking water,2020,8.90078,3464926.74735,Surface water
AFG,Afghanistan,rural,Drinking water,2020,12.03231,3464926.54444,Surface water
AFG,Afghanistan,urban,Drinking water,2020,0,0,Surface water
AFG,Afghanistan,total,Sanitation,2020,27.77339,10811720.30379,Unimproved
AFG,Afghanistan,rural,Sanitation,2020,33.3828,9613195.67403,Unimproved
AFG,Afghanistan,urban,Sanitation,2020,11.8297,1198525.01056,Unimproved
AFG,Afghanistan,total,Drinking water,2020,14.56026,5668068.63882,Unimproved
AFG,Afghanistan,rural,Drinking water,2020,19.68295,5668069.28471,Unimproved
AFG,Afghanistan,urban,Drinking water,2020,0,0,Unimproved
AGO,Angola,total,Sanitation,2020,51.66033,16978822.85379,At least basic
AGO,Angola,rural,Sanitation,2020,24.1564,2633865.12672,At least basic
AGO,Angola,urban,Sanitation,2020,65.31454,14344958.98949,At least basic
AGO,Angola,total,Drinking water,2020,57.16774,18788902.48308,At least basic
AGO,Angola,rural,Drinking water,2020,27.80823,3032037.83228,At least basic
AGO,Angola,urban,Drinking water,2020,71.74315,15756865.98375,At least basic
AGO,Angola,total,Hygiene,2020,27.09419,8904850.87877,Basic service
AGO,Angola,rural,Hygiene,2020,13.23489,1443050.41419,Basic service
AGO,Angola,urban,Hygiene,2020,33.97459,7461800.78474,Basic service
AGO,Angola,total,Hygiene,2020,15.06199,4950312.68047,Limited service
AGO,Angola,rural,Hygiene,2020,13.72976,1497008.13343,Limited service
AGO,Angola,urban,Hygiene,2020,15.72336,3453304.70176,Limited service
AGO,Angola,total,Sanitation,2020,21.00152,6902416.36262,Limited service
AGO,Angola,rural,Sanitation,2020,6.19269,675212.69594,Limited service
AGO,Angola,urban,Sanitation,2020,28.3533,6227203.93139,Limited service
AGO,Angola,total,Drinking water,2020,9.28735,3052405.50022,Limited service
AGO,Angola,rural,Drinking water,2020,8.74049,953009.01253,Limited service
AGO,Angola,urban,Drinking water,2020,9.55884,2099396.58063,Limited service
AGO,Angola,total,Hygiene,2020,57.84382,19011106.8746,No handwashing facility
AGO,Angola,rural,Hygiene,2020,73.03535,7963325.16889,No handwashing facility
AGO,Angola,urban,Hygiene,2020,50.30204,11047780.55962,No handwashing facility
AGO,Angola,total,Sanitation,2020,17.96832,5905516.92719,Open defecation
AGO,Angola,rural,Sanitation,2020,54.16224,5905516.95678,Open defecation
AGO,Angola,urban,Sanitation,2020,0,0,Open defecation
AGO,Angola,total,Drinking water,2020,14.09409,4632200.72689,Surface water
AGO,Angola,rural,Drinking water,2020,40.51813,4417847.56738,Surface water
AGO,Angola,urban,Drinking water,2020,0.97598,214353.19095,Surface water
AGO,Angola,total,Sanitation,2020,9.36983,3079513.44788,Unimproved
AGO,Angola,rural,Sanitation,2020,15.48867,1688789.22656,Unimproved
AGO,Angola,urban,Sanitation,2020,6.33215,1390723.31193,Unimproved
AGO,Angola,total,Drinking water,2020,19.45083,6392760.77347,Unimproved
AGO,Angola,rural,Drinking water,2020,22.93315,2500489.6891,Unimproved
AGO,Angola,urban,Drinking water,2020,17.72203,3892270.28463,Unimproved
ALB,Albania,rural,Drinking water,2020,94.09135,1025916.52006,At least basic
ALB,Albania,urban,Drinking water,2020,95.66381,1709951.4903,At least basic
ALB,Albania,total,Sanitation,2020,51.60771,1485166.70773,Basic service
ALB,Albania,rural,Sanitation,2020,45.67592,498023.25455,Basic service
ALB,Albania,urban,Sanitation,2020,55.22607,987143.45561,Basic service
ALB,Albania,total,Drinking water,2020,24.3935,701996.18415,Basic service
ALB,Albania,total,Sanitation,2020,0.57195,16459.61601,Limited service
ALB,Albania,rural,Sanitation,2020,0.71872,7836.50348,Limited service
ALB,Albania,urban,Sanitation,2020,0.48242,8623.11247,Limited service
ALB,Albania,total,Drinking water,2020,1.88466,54236.63302,Limited service
ALB,Albania,rural,Drinking water,2020,2.30526,25135.24666,Limited service
ALB,Albania,urban,Drinking water,2020,1.62809,29101.3862,Limited service
ALB,Albania,total,Sanitation,2020,0,0,Open defecation
ALB,Albania,rural,Sanitation,2020,0,0,Open defecation
ALB,Albania,urban,Sanitation,2020,0,0,Open defecation
ALB,Albania,total,Sanitation,2020,47.69108,1372453.96125,Safely managed service
ALB,Albania,rural,Sanitation,2020,53.60536,584481.14199,Safely managed service
ALB,Albania,urban,Sanitation,2020,44.0834,787972.8171,Safely managed service
ALB,Albania,total,Drinking water,2020,70.67454,2033871.83701,Safely managed service
ALB,Albania,total,Drinking water,2020,0,0,Surface water
ALB,Albania,rural,Drinking water,2020,0,0,Surface water
ALB,Albania,urban,Drinking water,2020,0,0,Surface water
ALB,Albania,total,Sanitation,2020,0.12926,3719.71478,Unimproved
ALB,Albania,rural,Sanitation,2020,0,0,Unimproved
ALB,Albania,urban,Sanitation,2020,0.2081,3719.71483,Unimproved
ALB,Albania,total,Drinking water,2020,3.04731,87695.34562,Unimproved
ALB,Albania,rural,Drinking water,2020,3.60338,39289.09306,Unimproved
ALB,Albania,urban,Drinking water,2020,2.7081,48406.25235,Unimproved
AND,Andorra,rural,Drinking water,2020,100,9336.7031,At least basic
AND,Andorra,urban,Drinking water,2020,100,67928.297,At least basic
AND,Andorra,total,Sanitation,2020,0,0,Basic service
AND,Andorra,rural,Sanitation,2020,0,0,Basic service
AND,Andorra,urban,Sanitation,2020,0,0,Basic service
AND,Andorra,total,Drinking water,2020,9.36,7232.00427,Basic service
AND,Andorra,total,Sanitation,2020,0,0,Limited service
AND,Andorra,rural,Sanitation,2020,0,0,Limited service
AND,Andorra,urban,Sanitation,2020,0,0,Limited service
AND,Andorra,total,Drinking water,2020,0,0,Limited service
AND,Andorra,rural,Drinking water,2020,0,0,Limited service
AND,Andorra,urban,Drinking water,2020,0,0,Limited service
AND,Andorra,total,Sanitation,2020,0,0,Open defecation
AND,Andorra,rural,Sanitation,2020,0,0,Open defecation
AND,Andorra,urban,Sanitation,2020,0,0,Open defecation
AND,Andorra,total,Sanitation,2020,100,77265.00286,Safely managed service
AND,Andorra,rural,Sanitation,2020,100,9336.7031,Safely managed service
AND,Andorra,urban,Sanitation,2020,100,67928.297,Safely managed service
AND,Andorra,total,Drinking water,2020,90.64,70032.9986,Safely managed service
AND,Andorra,total,Drinking water,2020,0,0,Surface water
AND,Andorra,rural,Drinking water,2020,0,0,Surface water
AND,Andorra,urban,Drinking water,2020,0,0,Surface water
AND,Andorra,total,Sanitation,2020,0,0,Unimproved
AND,Andorra,rural,Sanitation,2020,0,0,Unimproved
AND,Andorra,urban,Sanitation,2020,0,0,Unimproved
AND,Andorra,total,Drinking water,2020,0,0,Unimproved
AND,Andorra,rural,Drinking water,2020,0,0,Unimproved
AND,Andorra,urban,Drinking water,2020,0,0,Unimproved
ARE,United Arab Emirates,total,Drinking water,2020,99.9656,9886997.60943,At least basic
ARE,United Arab Emirates,total,Sanitation,2020,0,0,Basic service
ARE,United Arab Emirates,total,Sanitation,2020,0.77043,76198.60872,Limited service
ARE,United Arab Emirates,total,Drinking water,2020,0,0,Limited service
ARE,United Arab Emirates,total,Sanitation,2020,0,0,Open defecation
ARE,United Arab Emirates,total,Sanitation,2020,99.22957,9814201.39128,Safely managed service
ARE,United Arab Emirates,total,Drinking water,2020,0,0,Surface water
ARE,United Arab Emirates,total,Sanitation,2020,0,0,Unimproved
ARE,United Arab Emirates,total,Drinking water,2020,0.0344,3402.69322,Unimproved
ARG,Argentina,urban,Drinking water,2020,99.79042,41543031.47982,At least basic
ARG,Argentina,urban,Sanitation,2020,51.62742,21492640.20633,Basic service
ARG,Argentina,urban,Sanitation,2020,1.24901,519965.1159,Limited service
ARG,Argentina,urban,Drinking water,2020,0,0,Limited service
ARG,Argentina,urban,Sanitation,2020,0,0,Open defecation
ARG,Argentina,urban,Sanitation,2020,47.12357,19617674.67819,Safely managed service
ARG,Argentina,urban,Drinking water,2020,0,0,Surface water
ARG,Argentina,urban,Sanitation,2020,0,0,Unimproved
ARG,Argentina,urban,Drinking water,2020,0.20958,87248.47023,Unimproved
ARM,Armenia,rural,Sanitation,2020,83.47301,907453.09144,At least basic
ARM,Armenia,rural,Drinking water,2020,100,1087121.6,At least basic
ARM,Armenia,urban,Drinking water,2020,99.95448,1875258.45048,At least basic
ARM,Armenia,total,Hygiene,2020,94.71515,2806631.53121,Basic service
ARM,Armenia,rural,Hygiene,2020,91.1048,990420.01249,Basic service
ARM,Armenia,urban,Hygiene,2020,96.80718,1816211.51989,Basic service
ARM,Armenia,total,Sanitation,2020,24.60766,729182.56106,Basic service
ARM,Armenia,urban,Sanitation,2020,28.64215,537358.95648,Basic service
ARM,Armenia,total,Drinking water,2020,13.06052,387013.78937,Basic service
ARM,Armenia,total,Hygiene,2020,0.40324,11948.83357,Limited service
ARM,Armenia,rural,Hygiene,2020,0,0,Limited service
ARM,Armenia,urban,Hygiene,2020,1.12416,21090.47685,Limited service
ARM,Armenia,total,Sanitation,2020,0.42505,12595.07879,Limited service
