Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,total,Sanitation,2000,9.27241,60643547.98904,Basic service
who,Africa,rural,Sanitation,2000,3.7804,16620642.07308,Basic service
who,Africa,urban,Sanitation,2000,20.53614,44022905.4892,Basic service
who,Africa,total,Sanitation,2000,14.86082,97192927.99835,Limited service
who,Africa,rural,Sanitation,2000,8.54257,37557689.34263,Limited service
who,Africa,urban,Sanitation,2000,27.8191,59635237.96907,Limited service
who,Africa,total,Sanitation,2000,30.73883,201038481.34386,Open defecation
who,Africa,rural,Sanitation,2000,41.47009,182324626.90639,Open defecation
who,Africa,urban,Sanitation,2000,8.72978,18713852.98703,Open defecation
who,Africa,total,Sanitation,2000,16.37287,107082059.69874,Safely managed service
who,Africa,rural,Sanitation,2000,14.29311,62840138.9681,Safely managed service
who,Africa,urban,Sanitation,2000,20.63831,44241919.96846,Safely managed service
who,Africa,total,Sanitation,2000,28.75507,188064282.96935,Unimproved
who,Africa,rural,Sanitation,2000,31.91384,140310251.39381,Unimproved
who,Africa,urban,Sanitation,2000,22.27667,47754033.14224,Unimproved
who,Africa,total,Sanitation,2001,9.33871,62644162.66098,Basic service
who,Africa,rural,Sanitation,2001,3.7886,16970087.55555,Basic service
who,Africa,urban,Sanitation,2001,20.4931,45674074.73445,Basic service
who,Africa,total,Sanitation,2001,15.09914,101285148.74493,Limited service
who,Africa,rural,Sanitation,2001,8.60756,38555452.21576,Limited service
who,Africa,urban,Sanitation,2001,28.14564,62729696.18668,Limited service
who,Africa,total,Sanitation,2001,30.08142,201786428.59962,Open defecation
who,Africa,rural,Sanitation,2001,40.78351,182679690.22035,Open defecation
who,Africa,urban,Sanitation,2001,8.57284,19106740.14656,Open defecation
who,Africa,total,Sanitation,2001,16.6196,111484425.19416,Safely managed service
who,Africa,rural,Sanitation,2001,14.51238,65004618.14702,Safely managed service
who,Africa,urban,Sanitation,2001,20.85462,46479807.19197,Safely managed service
who,Africa,total,Sanitation,2001,28.86112,193600629.30031,Unimproved
who,Africa,rural,Sanitation,2001,32.30796,144715566.88232,Unimproved
who,Africa,urban,Sanitation,2001,21.93381,48885061.49956,Unimproved
who,Africa,total,Sanitation,2002,9.44178,64961784.53195,Basic service
who,Africa,rural,Sanitation,2002,3.80635,17366724.3276,Basic service
who,Africa,urban,Sanitation,2002,20.53568,47595060.55452,Basic service
who,Africa,total,Sanitation,2002,15.25859,104982810.90152,Limited service
who,Africa,rural,Sanitation,2002,8.62418,39348390.29732,Limited service
who,Africa,urban,Sanitation,2002,28.31906,65634421.29088,Limited service
who,Africa,total,Sanitation,2002,29.39095,202216945.53509,Open defecation
who,Africa,rural,Sanitation,2002,40.05016,182731584.33106,Open defecation
who,Africa,urban,Sanitation,2002,8.40728,19485363.6734,Open defecation
who,Africa,total,Sanitation,2002,16.94297,116571816.28628,Safely managed service
who,Africa,rural,Sanitation,2002,14.80183,67534373.3317,Safely managed service
who,Africa,urban,Sanitation,2002,21.15802,49037443.97271,Safely managed service
who,Africa,total,Sanitation,2002,28.96571,199291153.74517,Unimproved
who,Africa,rural,Sanitation,2002,32.71748,149275744.78632,Unimproved
who,Africa,urban,Sanitation,2002,21.57997,50015404.3945,Unimproved
who,Africa,total,Sanitation,2003,9.54022,67331780.22399,Basic service
who,Africa,rural,Sanitation,2003,3.81996,17754353.3159,Basic service
who,Africa,urban,Sanitation,2003,20.57254,49577426.90504,Basic service
who,Africa,total,Sanitation,2003,15.41073,108763931.15986,Limited service
who,Africa,rural,Sanitation,2003,8.63773,40146379.94523,Limited service
who,Africa,urban,Sanitation,2003,28.47339,68617551.14055,Limited service
who,Africa,total,Sanitation,2003,28.70117,202563515.06693,Open defecation
who,Africa,rural,Sanitation,2003,39.30979,182703677.68657,Open defecation
who,Africa,urban,Sanitation,2003,8.24099,19859836.58761,Open defecation
who,Africa,total,Sanitation,2003,17.27624,121930045.36851,Safely managed service
who,Africa,rural,Sanitation,2003,15.10394,70199940.24474,Safely managed service
who,Africa,urban,Sanitation,2003,21.46581,51730104.8881,Safely managed service
who,Africa,total,Sanitation,2003,29.07163,205178105.18142,Unimproved
who,Africa,rural,Sanitation,2003,33.12858,153974681.07657,Unimproved
who,Africa,urban,Sanitation,2003,21.24726,51203420.78946,Unimproved
who,Africa,total,Sanitation,2004,9.64117,69813350.02807,Basic service
who,Africa,rural,Sanitation,2004,3.83219,18145095.77613,Basic service
who,Africa,urban,Sanitation,2004,20.61567,51668254.9145,Basic service
who,Africa,total,Sanitation,2004,15.56568,112713795.89355,Limited service
who,Africa,rural,Sanitation,2004,8.65725,40991317.78262,Limited service
who,Africa,urban,Sanitation,2004,28.61731,71722479.02323,Limited service
who,Africa,total,Sanitation,2004,28.0078,202809299.94937,Open defecation
who,Africa,rural,Sanitation,2004,38.56061,182581015.1265,Open defecation
who,Africa,urban,Sanitation,2004,8.0711,20228284.99487,Open defecation
who,Africa,total,Sanitation,2004,17.61157,127528382.72608,Safely managed service
who,Africa,rural,Sanitation,2004,15.40407,72936884.04484,Safely managed service
who,Africa,urban,Sanitation,2004,21.78204,54591499.35472,Safely managed service
who,Africa,total,Sanitation,2004,29.17378,211252336.40221,Unimproved
who,Africa,rural,Sanitation,2004,33.54587,158836668.40891,Unimproved
who,Africa,urban,Sanitation,2004,20.91388,52415667.31368,Unimproved
who,Africa,total,Sanitation,2005,9.74757,72438244.31292,Basic service
who,Africa,rural,Sanitation,2005,3.84641,18553782.22509,Basic service
who,Africa,urban,Sanitation,2005,20.66313,53884463.1903,Basic service
who,Africa,total,Sanitation,2005,15.72735,116876460.28259,Limited service
who,Africa,rural,Sanitation,2005,8.67921,41865536.80034,Limited service
who,Africa,urban,Sanitation,2005,28.76451,75010925.14927,Limited service
who,Africa,total,Sanitation,2005,27.30754,202933679.44135,Open defecation
who,Africa,rural,Sanitation,2005,37.79967,182332644.9246,Open defecation
who,Africa,urban,Sanitation,2005,7.8999,20601036.38522,Open defecation
who,Africa,total,Sanitation,2005,17.94724,133373429.89709,Safely managed service
who,Africa,rural,Sanitation,2005,15.70693,75764823.42034,Safely managed service
who,Africa,urban,Sanitation,2005,22.09123,57608608.11697,Safely managed service
who,Africa,total,Sanitation,2005,29.2703,217519817.96604,Unimproved
who,Africa,rural,Sanitation,2005,33.96778,163848899.58862,Unimproved
who,Africa,urban,Sanitation,2005,20.58124,53670918.75297,Unimproved
who,Africa,total,Sanitation,2006,9.85824,75205942.365,Basic service
who,Africa,rural,Sanitation,2006,3.86074,18976830.19315,Basic service
who,Africa,urban,Sanitation,2006,20.72275,56229113.56131,Basic service
who,Africa,total,Sanitation,2006,15.89556,121263027.30673,Limited service
who,Africa,rural,Sanitation,2006,8.70795,42802503.21843,Limited service
who,Africa,urban,Sanitation,2006,28.91594,78460526.2793,Limited service
who,Africa,total,Sanitation,2006,26.60761,202982504.96638,Open defecation
who,Africa,rural,Sanitation,2006,37.03224,182025928.09903,Open defecation
who,Africa,urban,Sanitation,2006,7.72336,20956580.08411,Open defecation
who,Africa,total,Sanitation,2006,18.27819,139439500.1616,Safely managed service
who,Africa,rural,Sanitation,2006,16.00645,78677114.68829,Safely managed service
who,Africa,urban,Sanitation,2006,22.39344,60762387.87241,Safely managed service
who,Africa,total,Sanitation,2006,29.3604,223982774.99953,Unimproved
who,Africa,rural,Sanitation,2006,34.39262,169051307.19561,Unimproved
who,Africa,urban,Sanitation,2006,20.24451,54931468.35486,Unimproved
who,Africa,total,Sanitation,2007,9.97416,78129507.04469,Basic service
who,Africa,rural,Sanitation,2007,3.87593,19414897.59298,Basic service
who,Africa,urban,Sanitation,2007,20.7906,58714610.34738,Basic service
who,Africa,total,Sanitation,2007,16.06419,125833868.80464,Limited service
who,Africa,rural,Sanitation,2007,8.73813,43770109.43446,Limited service
who,Africa,urban,Sanitation,2007,29.05844,82063760.77304,Limited service
who,Africa,total,Sanitation,2007,25.90495,202918374.1666,Open defecation
who,Africa,rural,Sanitation,2007,36.25698,181614669.96641,Open defecation
who,Africa,urban,Sanitation,2007,7.54355,21303706.11768,Open defecation
